year,count_type,count
2019,Overall Homeless,5561
2018,Overall Homeless,3621
2017,Overall Homeless,3665
2016,Overall Homeless,2500
2015,Overall Homeless,2659
2014,Overall Homeless,2449
2013,Overall Homeless,2538
2012,Overall Homeless,2812
2011,Overall Homeless,2376
2010,Overall Homeless,2734
2009,Overall Homeless,2800
2008,Overall Homeless,2615
2007,Overall Homeless,2452
2019,Total Year-Round Beds,1626
2018,Total Year-Round Beds,1493
2017,Total Year-Round Beds,1431
2016,Total Year-Round Beds,1435
2015,Total Year-Round Beds,1564
2014,Total Year-Round Beds,1557
2013,Total Year-Round Beds,1554
2012,Total Year-Round Beds,1660
2011,Total Year-Round Beds,1551
2010,Total Year-Round Beds,1727
2009,Total Year-Round Beds,1612
2008,Total Year-Round Beds,1571
2007,Total Year-Round Beds,1641
